,title,photo_url,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,availabilityStarts,url,allows_Occasional overnight guests,allows_Pets,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Cancellation policy,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,n_Kitchens,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,"landlord_Female, 26-30 years old",landlord_Professional,landlord_Lives with family,landlord_Has pets,short_term_penalty_days,allows_Postgraduates,"landlord_Female, 40+ years old",allows_Full-time employees,allows_Female only,allows_Undergraduates,n_Dining Rooms,allows_Domestic students,allows_Male only,Requirements,allows_International students,"landlord_Female, 18-25 years old",landlord_Undergraduate student,"landlord_Male, 31-40 years old","landlord_Male, 40+ years old",Enclosed balcony,landlord_Female,"landlord_Female, 31-40 years old",landlord_Male,landlord_Postgraduate student,"landlord_Male, 18-25 years old",Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_wcs,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
223,Neat and cosy single bedroom near the Rato metro,https://cdn-static-new.uniplaces.com/property-photos/14b8b3cb96716239c8e85b6b7b27e072289e519cc2f07b1d725833487ceea258/x-large.jpg,9.0,3,Single bedroom,1,7,2,280.0,2022-05-01,https://www.uniplaces.com/accommodation/lisbon/37553,1,0,0,0,0,1,0,0,3,0,0,1,Monthly,Included,Moderate,0.0,Weekly,118.0,Rato,1,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,200.0,0
224,High-quality double bedroom near Arroios metro station,https://cdn-static-new.uniplaces.com/property-photos/0591de73de7e7e030c8843e01d24025017a8c73e6b879a77d0a645527984f8a8/x-large.jpg,10.0,5,Double bedroom,2,5,1,350.0,2022-01-12,https://www.uniplaces.com/accommodation/lisbon/64228,1,0,0,1,1,1,0,1,1,0,0,0,Monthly,Included,Moderate,50.0,Weekly,27.0,Penha de França,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,45.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0.0,1
225,Appealing single bedroom in residential Monte-Abraão,https://cdn-static-new.uniplaces.com/property-photos/6cfbce241ad8ab8cec13ad27af9795d4a99069261058bdd97253da04a8bb746b/x-large.jpg,20.0,5,Single bedroom,1,4,2,250.0,2022-03-07,https://www.uniplaces.com/accommodation/lisbon/408455,0,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,90.0,Amadora,1,1,0,1,0,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,0
226,Enjoyable single bedroom near the Monte-Abraão train station,https://cdn-static-new.uniplaces.com/property-photos/db2a6c850d112e75a429b2437f24ec8414972535d7b012cc99049f7b83924e9a/x-large.jpg,21.0,5,Single bedroom,1,4,2,250.0,2022-05-01,https://www.uniplaces.com/accommodation/lisbon/408419,0,0,0,1,1,1,0,0,1,0,0,0,Fortnightly,Included,Moderate,0.0,Not specified,90.0,Amadora,1,1,0,1,0,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,0
227,Neat and cosy single bedroom in Saldanha,https://cdn-static-new.uniplaces.com/property-photos/10b03dc1b28d12fa7db0acbb34be7a9c4152cbf01e35748d198962d550890735/x-large.jpg,17.0,0,Single bedroom,1,7,2,311.0,2022-07-01,https://www.uniplaces.com/accommodation/lisbon/264980,0,0,0,1,1,1,0,0,1,1,0,0,Monthly,Included,Moderate,0.0,Weekly,145.0,Saldanha,1,1,0,0,0,0,0,0,0,2,2,2,0,1,1,1,1,1,1,0,0,0,2,1,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,200.0,0
228,Single bedroom in Benfica,https://cdn-static-new.uniplaces.com/property-photos/79c337df45951fa2a887c2c13fa33141521ad62ef672b704f33025709cf5d51e/x-large.jpg,31.0,0,Single bedroom,1,5,1,350.0,2022-02-01,https://www.uniplaces.com/accommodation/lisbon/255338,0,0,0,1,1,1,0,1,1,0,0,0,Monthly,Included,Moderate,0.0,Weekly,28.0,Benfica,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,50.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0.0,0
229,Lovely double bedroom near Picoas and Saldanha station,https://cdn-static-new.uniplaces.com/property-photos/a78794385021c4565ea6baba998a82e0e4bb6f313d487bea7a6231c0bed4859d/x-large.jpg,15.0,5,Double bedroom,2,9,3,375.0,2022-02-01,https://www.uniplaces.com/accommodation/lisbon/120837,0,0,0,0,1,1,0,1,2,0,0,0,Monthly,Included,Moderate,75.0,Weekly,27.0,Arroios,1,1,1,0,0,1,0,0,0,3,3,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,50.0,0,0,0,0,0.0,1,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,15.0,,0,0,0,0,1,0,0,0.0,0
230,Snug single bedroom close to the Intendente metro,https://cdn-static-new.uniplaces.com/property-photos/e12396406f3cf61f1c5874b45ad1f02754944e06299e050cf0f5589a7dbcab08/x-large.jpg,21.0,0,Single bedroom,1,5,1,355.0,2022-02-17,https://www.uniplaces.com/accommodation/lisbon/423546,0,0,0,1,1,1,0,0,0,0,0,0,Monthly,Included,Moderate,0.0,Not specified,120.0,Intendente,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0.0,0,0,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,200.0,0
231,"Cosy double bedroom, in a 4-bedroom apartment, in Saldanha",https://cdn-static-new.uniplaces.com/property-photos/a8870eeb109a126259ded04ababfeece9c190d5d695b19d96dfb432f2cbada2a/x-large.jpg,17.0,0,Double bedroom,1,4,1,330.0,2022-07-01,https://www.uniplaces.com/accommodation/lisbon/1982,0,0,0,1,0,1,0,0,0,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,27.0,Saldanha,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0.0,0,0,0,0,0.0,1,0,1,1,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,1,0.0,0
232,Bright double bedroom close to IST,https://cdn-static-new.uniplaces.com/property-photos/3d791df7bdc74f56aab3cb32fc5fa1909262da4a25ff3e051e8cfa3acb47ce07/x-large.jpg,11.0,0,Double bedroom,1,3,1,350.0,2022-02-01,https://www.uniplaces.com/accommodation/lisbon/67362,0,0,0,0,0,0,0,0,3,1,0,0,Fortnightly,Included,Moderate,0.0,Not specified,30.0,Alameda,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,0,1,0,0,0.0,1,0,1,0,1,0,1,0,,1,0,0,1,0,0,0,0,0,0,0,,,0,1,0,0,1,1,0,0.0,0
