,title,n_thumbnails,rating,type,n_people,n_bedrooms,n_bathrooms,price,url,allows_Occasional overnight guests,allows_Smoking,Wardrobe,Desk,Chairs,Towels,Bed linen,Window,Sofa,Sofa bed,Balcony,Contract,Bills,Extra per tenant,Cleaning Frequency,min_stay_nights,neighboorhood,Wi-Fi,Cable Tv,Central heating,Air conditioning,Outdoor area,Towels & bed linen,Elevator,Accessibility,Toilet,Sink,Shower,Bathtub,Fridge,Freezer,Stove,Oven,Microwave,Washing machine,Dishes & cutlery,Pots & pans,Coffee table,Table,Tv,Chest of drawers,Door lock,Dryer,Dishwasher,one_time_fee,Enclosed balcony,Floor_plan_m2,Bedroom_area_m2,has_private_bathroom,n_living_rooms,n_single_beds,n_double_beds,landlord_lives_here,has_tenant_restrictions,deposit_minus_price,available_immediately
810,Pleasant single bedroom close to Picoas metro station,12.0,5,Single bedroom,1,8,3,350.0,https://www.uniplaces.com/accommodation/lisbon/73145,0,0,0,0,0,0,0,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,0,0,0,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
811,Appealing single bedroom in proximity to Estufa Fria de Lisboa,11.0,5,Single bedroom,1,8,3,350.0,https://www.uniplaces.com/accommodation/lisbon/73147,0,0,0,0,0,0,0,1,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,0,0,0,3,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
812,Neat single bedroom close to Instituto Superior Técnico de Lisboa,20.0,5,Single bedroom,1,8,2,350.0,https://www.uniplaces.com/accommodation/lisbon/54654,0,0,1,1,1,0,1,3,0,0,0,Monthly,Included,0.0,Weekly,27.0,Saldanha,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,120.0,12.0,0,0,1,0,0,0,0.0,0
813,Interior single bedroom in Alameda,33.0,2,Single bedroom,1,6,2,325.0,https://www.uniplaces.com/accommodation/lisbon/305753,0,0,1,1,1,0,0,0,0,0,0,Monthly,Included,0.0,Not specified,28.0,Arroios,1,0,0,0,1,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
814,Alluring single bedroom near Instituto Superior Técnico,13.0,5,Single bedroom,1,6,2,325.0,https://www.uniplaces.com/accommodation/lisbon/50325,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,75.0,,0,0,1,0,0,0,0.0,0
815,Alluring single bedroom near Instituto Superior Técnico,13.0,5,Single bedroom,1,6,2,325.0,https://www.uniplaces.com/accommodation/lisbon/50325,0,0,1,1,1,1,1,1,0,0,1,Monthly,Included,0.0,Weekly,27.0,Arroios,1,1,0,0,0,0,0,0,2,2,2,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,50.0,0,75.0,,0,0,1,0,0,0,0.0,0
816,Excellent double bedroom in Roma-Areeiro,12.0,0,Double bedroom,2,2,1,550.0,https://www.uniplaces.com/accommodation/lisbon/434956,0,0,1,0,1,0,1,3,1,0,0,Fortnightly,Included,50.0,Fortnightly,90.0,Roma-Areeiro,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0.0,0,,,0,1,0,1,0,0,0.0,1
817,"Double bedroom, with balcony, in 4-bedroom apartment",11.0,0,Double bedroom,1,5,2,300.0,https://www.uniplaces.com/accommodation/lisbon/418306,0,0,1,1,1,0,0,3,0,0,0,Fortnightly,Included,0.0,Not specified,27.0,Ajuda,1,1,0,0,0,0,1,0,2,2,2,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0.0,0,,,0,0,0,1,0,1,0.0,0
818,Single bedroom close to Alameda Metro Station,33.0,2,Single bedroom,1,6,2,330.0,https://www.uniplaces.com/accommodation/lisbon/305755,0,0,1,1,1,0,0,0,0,0,0,Monthly,Included,0.0,Not specified,28.0,Arroios,1,0,0,0,1,1,0,0,2,2,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,50.0,0,,,0,0,1,0,0,0,0.0,0
819,Double bedroom in spacious 4-bedroom flat in Olaias,16.0,0,Double bedroom,1,4,2,420.0,https://www.uniplaces.com/accommodation/lisbon/6055,0,1,1,1,1,0,1,1,0,0,1,Fortnightly,Included,0.0,Monthly,90.0,Olaias,1,0,0,0,0,0,0,0,2,2,0,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0.0,0,,,0,0,0,1,0,0,0.0,1
